sector,pmc,ccmc,ap,bps,ac,ingpc_mean
Prosperina,453.3892548116658,3.701805582222275e-07,1390.888888888889,2.413612565445026,3.0,281.7926535676329
Puerto Lisa,851.1426302945856,2.837495609484999e-07,778.1927710843373,3.2270114942528734,9.0,217.33899524463925
Quitumbe,606.4510678117521,0.0,1607.8676470588234,2.3568464730290457,10.0,240.09887146160395
Samanes,743.300493610205,3.184935950579321e-06,427.42914979757086,2.6247877758913414,18.0,372.30790130914727
San Carlos,750.6898074950572,2.694664938616019e-06,279.35897435897436,1.7477064220183487,14.0,483.512009729401
San Isidro del Inca,900.9099633035592,4.133585654819008e-07,524.9646017699115,2.636190476190476,8.0,486.9867195529291
San Juan,627.4698010484976,1.022462115986407e-06,641.6605504587156,2.431893687707641,37.0,234.60729737631175
Santa Rita,1063.6241066522064,6.29392634059965e-07,504.2857142857143,1.6865671641791045,3.0,243.32415590710335
Sauces,686.3925281994068,9.823047942375302e-07,295.2687969924812,2.230769230769231,10.0,364.8911108038503
Solanda,517.2088871712369,2.739628992210588e-06,451.05263157894734,2.456140350877193,3.0,234.6124334820881
Turubamba,542.1887393754248,1.6929885285065878e-06,540.6451612903226,2.4503311258278146,4.0,270.2321011257379
Urdenor,936.5852788389494,7.700747712380715e-06,401.4512195121951,2.31740614334471,12.0,434.5878153012299
Vergeles,735.7071431827845,3.591105008989889e-06,639.7619047619048,2.418269230769231,6.0,190.114522417154
