ciudad,sector,pmc,ccmc,ap,dsc,bps,ac
Guayaquil,Lotizacion Expogramos,70.53239950766095,7.426416761401001e-06,2589.1071428571427,0.1007685174626236,1.6862745098039216,1.0
Guayaquil,Lotizacion Industrial Pascuales,32.66175948378947,0.0,4018.5454545454545,0.15006833527340085,2.260869565217391,0.0
Guayaquil,Lotizacion Xandu,144.0054799923197,3.6693123840525734e-06,1387.5,0.08672621214453693,3.1666666666666665,0.0
Guayaquil,Luxury,89.28339759523821,0.0,700.0,0.15817773051359363,2.0,0.0
Guayaquil,Luz del Guayas,50.0419042973311,6.940323001437945e-07,143.57142857142858,0.04630335341631092,2.2,0.0
Guayaquil,Manglero Vista,286.57090518471625,0.0,1200.0,0.06826370184927517,3.4,0.0
Guayaquil,Mapasingue,103.4142210446433,2.7653646525235294e-06,989.4401408450705,0.06216345108447641,1.9609756097560975,26.0
Guayaquil,Martha de Roldos,32.86648147209327,0.0,0.0,0.06587304803620446,2.8076923076923075,0.0
Guayaquil,Matices,77.41460308234741,0.0,701.0714285714286,0.13551254186444348,3.3214285714285716,0.0
Guayaquil,Metropolis 1,45.60173533090124,1.8060648597396907e-05,0.0,0.13045857965392585,2.0,1.0
Guayaquil,Metropolis 2,52.944522174788574,2.859123814200873e-06,349.61538461538464,0.13558695176301824,2.6652719665271967,3.0
Guayaquil,Miraflores,88.74602488796366,3.632426110945003e-06,334.9162995594714,0.048413074675095855,1.4108527131782946,8.0
Guayaquil,Mocoli,261.00846907903957,0.0,1550.0,0.09409642407081958,3.923076923076923,0.0
Guayaquil,Monte Sinai,43.20164399769591,0.0,0.0,0.14085191940954658,4.0,0.0
Guayaquil,Montebello,30.529161758371774,0.0,16000.0,0.1236705053336895,1.7741935483870968,0.0
Guayaquil,Mucho Lote,33.61124142810409,2.2838091266607623e-06,291.91358024691357,0.11456461635577349,2.194160583941606,2.0
Guayaquil,Mucho Lote 2,42.38926876352484,1.2680116484251757e-06,20186.816692987075,0.1331409197926688,2.6626506024096384,0.0
Guayaquil,Nueva Prosperina,21.543219806851027,2.3921967238794656e-07,4000.0,0.10726019081058914,1.8888888888888888,1.0
Guayaquil,Orquideas,37.11030276350506,9.67283528791273e-07,343.20754716981133,0.11288686013497388,2.2877358490566038,1.0
Guayaquil,Palmar del Rio,192.9673431897084,0.0,800.0,0.07286244621509576,2.5,0.0
Guayaquil,Parque Industrial El Sauce,75.18545311129678,3.5232885762897597e-06,2172.3076923076924,0.10968725206901837,2.1973684210526314,4.0
Guayaquil,Parroquia 9 de Octubre,125.5459841569232,5.285220109862312e-06,510.4245810055866,0.01349216971048552,2.553299492385787,43.0
Guayaquil,Parroquia Ayacucho,96.74118727672283,8.091409152974058e-07,319.875,0.018248036138979906,3.3285714285714287,4.0
Guayaquil,Parroquia Bolivar,91.20813971752776,3.6997703271283396e-06,803.3333333333334,0.011793449932190494,3.2375,0.0
Guayaquil,Parroquia Garcia Moreno,104.03537435237452,0.0,297.1909090909091,0.025019379930756938,3.0786163522012577,7.0
Guayaquil,Parroquia Letamendi,61.634339242928746,7.862252645729884e-07,260.7142857142857,0.027471464362970346,4.261682242990654,1.0
