neighborhood,ingpc_mean,gini,ingpc_median,iqr
Parroquia Urdaneta,279.5562851327777,0.3414131197208051,204.0,243.825
Pascuales,204.11404024161465,0.2593132617685415,186.73333333333335,128.09821428571428
Ponceano,414.6153626938161,0.38445566576568385,274.16666666666663,397.98511904761904
Pradera,333.0703216374269,0.26442479894674686,272.73809523809524,159.10349025974025
Prosperina,281.7926535676329,0.3116290639787066,235.0,225.67261904761907
Puerto Lisa,217.33899524463925,0.29468972971428203,186.8375,158.53472222222223
Quitumbe,240.09887146160395,0.3394330814988106,209.0,209.359375
Rosales,279.6848162071846,0.22690212740628005,279.0,182.84345238095239
Samanes,372.30790130914727,0.23249411805129727,359.85,209.63541666666666
San Bartolo,226.70400049651968,0.2632101967724985,187.5,114.20340909090908
San Carlos,483.51200972940103,0.2349952179418094,387.875,252.375
San Francisco,167.0908983785822,0.2358069076292488,166.34375,111.375
San Isidro del Inca,486.9867195529291,0.413620334490784,321.75,503.95833333333326
San Juan,234.60729737631178,0.3280664012928697,200.45833333333331,175.99553571428572
Santa Anita,306.6740625602128,0.2923395197707559,240.375,250.3660714285714
Santa Isabel,375.46138402583375,0.3566690165741588,252.625,345.1815476190476
Santa Maria de Cotocollao,173.5995115995116,0.2524403124155743,147.60416666666669,117.2933836996337
Santa Rita,243.32415590710337,0.22846359753906365,234.45833333333331,130.86458333333331
Sauces,364.8911108038503,0.3166026529662062,332.0,335.79583333333335
Sergio Toral,150.11724300831443,0.25941547654718267,135.78571428571428,109.76388888888889
Solanda,234.6124334820881,0.2562088120657841,220.0,149.0
TerraNostra,786.9315789473684,0.2936870229808853,755.0,543.075
Turubamba,270.2321011257379,0.3119483778985409,199.625,242.68333333333334
Urbanor,358.164656726501,0.27513171724462443,324.0,271.9625744047619
Urdenor,434.5878153012299,0.28537805397391536,397.3333333333333,335.40000000000003
Vergeles,190.11452241715398,0.1734846186900198,174.51666666666665,70.79895833333333
Vista Sol,1074.4722222222222,0.2655710957719696,947.6,975.3000000000002
