Descripcion_1,Descripcion_2,precio,mt2,latitud,longitud,Nombre_sector
Departamento,Departamento,95000,102,-0.08761245909093539,-78.46893007528706,Carcelen
Departamento,Departamento,75000,60,-0.1710555758197129,-78.47845108263056,Iñaquito
Departamento,Departamento,55000,35,-0.1758568584347938,-78.48613791699411,Iñaquito
Casa,Casa,69900,160,-0.3276205474352521,-78.56732988897791,Guamani
Departamento,Departamento,32000,63,-0.1209981539723252,-78.47003588975042,Comite del Pueblo
Local,Local,40000,52,-0.1173737587968893,-78.4887309341228,Ponceano
Departamento,Departamento,190000,270,-0.1074194461873055,-78.48396529848748,Ponceano
Oficina/Consultorio,Oficina/Consultorio,45000,38,-0.1074194461873055,-78.48396529848748,Ponceano
Departamento,Departamento,430000,235,-0.1817369996757024,-78.47550850199568,Iñaquito
Local,Local,190000,286,-0.1169522074768556,-78.48640636951397,Ponceano
Oficina/Consultorio,Oficina/Consultorio,159000,125,-0.1802198284068309,-78.47892645930715,Iñaquito
Departamento,Departamento,138622,77,-0.181735779889501,-78.4810975376393,Iñaquito
Departamento,Departamento,75000,85,-0.1570371345403986,-78.47925042871681,El Inca
Casa,Casa,164500,162,-0.1870875678583164,-78.49998102845797,Belisario Quevedo
Casa,Casa,75000,120,-0.111508610282183,-78.4866853131305,Ponceano
Departamento,Departamento,290000,207,-0.1817369996757024,-78.47550850199568,Iñaquito
Casa,Casa,450000,575,-0.1051440013069427,-78.48343731120485,Ponceano
Lote,Lote,350000,200,-0.2781950565874727,-78.5411381917503,Turubamba
Casa,Casa,75000,154,-0.2727073947231795,-78.523814753244,Argelia
Departamento,Departamento,53000,100,-0.2804720180968694,-78.54106322852638,Turubamba
Casa,Casa,205000,460,-0.166880365716107,-78.4789957451427,El Inca
Casa,Casa,80000,200,-0.2989309203223962,-78.52861960469426,Quitumbe
Departamento,Departamento,49900,97,-0.2418381542487595,-78.5362556734585,MarcoPamba
Departamento,Departamento,199000,342,-0.1996377734593792,-78.51108788363216,Belisario Quevedo
Departamento,Departamento,177425,102,-0.184350052933515,-78.48076195440149,Iñaquito
Departamento,Departamento,290000,123,-0.1974876575904577,-78.4801799273143,La Paz
Lote,Lote,635000,893,-0.1570371345403986,-78.47925042871681,El Inca
Casa,Casa,320000,458,-0.1102584215352403,-78.49369411691539,Ponceano
Casa,Casa,428000,255,-0.1349463253948802,-78.46449698414084,San Isidro del Inca
Departamento,Departamento,159000,150,-0.174238995671413,-78.48343653079792,Iñaquito
Departamento,Departamento,178472,81,-0.1974876575904577,-78.4801799273143,La Paz
Oficina/Consultorio,Oficina/Consultorio,60000,62,-0.2007872554751357,-78.4893916421987,Mariscal Sucre
Oficina/Consultorio,Oficina/Consultorio,170000,115,-0.1710555758197129,-78.47845108263056,Iñaquito
Departamento,Departamento,126000,145,-0.09804485204867161,-78.48434292607838,Ponceano
Lote,Lote,1000000,5900,-0.1582072882048511,-78.47873516425278,El Inca
