Descripcion_1,Descripcion_2,precio,mt2,ubicacion
Casa,Casa en venta en Norte De Guayaquil,$ 50.000,95 m² Totales,"https://www.google.com/maps/@-2.124050778874452,-79.88649022307686,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 92.000,120 m² Totales,"https://www.google.com/maps/@-2.081683234267321,-79.92058403649801,13z?hl=es-ES&gl=US"
Local,Local en venta en Centro De Guayaquil,$ 349.900,310 m² Totales,"https://www.google.com/maps/@-2.190579219653486,-79.88392452651104,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio en venta en Kennedy Norte,$ 100.000,103 m² Totales,Nada
Casa,Casa en venta en Samanes,$ 79.500,130 m² Totales,"https://www.google.com/maps/@-2.113888203566436,-79.89883956444628,13z?hl=es-ES&gl=US"
Lote,Lote en venta en Norte De Guayaquil,$ 680.000,550 m² Totales,"https://www.google.com/maps/@-2.16188537531303,-79.91296734560699,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 200.000,427 m² Totales,"https://www.google.com/maps/@-2.117237514594672,-79.89270479180554,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio en venta en Norte De Guayaquil,$ 135.000,100 m² Totales,"https://www.google.com/maps/@-2.156258324588056,-79.89305512990583,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Urdesa central,Nada,743 m² Totales,"https://www.google.com/maps/@-2.169196695973065,-79.90675719994542,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Bellavista,$ 140.000,145 m² Totales,"https://www.google.com/maps/@-2.175684696737758,-79.91259385589224,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 80.000,Nada,Nada
Casa,Casa en venta en Samborondon,$ 1.000.000,680 m² Totales,Nada
Departamento,Departamento en venta en Guayaquil,$ 128.000,Nada,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Local,Local en venta en Guayaquil,$ 228.030,8801 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Via A La Costa,$ 250.000,172 m² Totales,Nada
Casa,Casa en venta en Guayaquil,$ 59.000,48 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 400.000,160 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 75.000,74 m² Totales,"https://www.google.com/maps/@-2.050470176914849,-79.91343350090231,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 85.000,128 m² Totales,"https://www.google.com/maps/@-2.134804934060888,-79.88415956113398,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 60.000,51 m² Totales,Nada
Casa,Casa en venta en Ciudad Celeste,$ 224.000,320 m² Totales,Nada
Lote,Lote en venta en Centro De Guayaquil,$ 210.000,470 m² Totales,"https://www.google.com/maps/@-2.211833436441614,-79.9311816001882,13z?hl=es-ES&gl=US"
Lote,Lote en venta en Norte De Guayaquil,Nada,10400 m² Totales,Nada
Lote,Lote en venta en Guayaquil,$ 17.000,104 m² Totales,Nada
Lote,Lote en venta en Norte De Guayaquil,$ 39.000,1056 m² Totales,"https://www.google.com/maps/@-2.005932841623204,-79.96409170343236,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Norte De Guayaquil,$ 68.000,100 m² Totales,"https://www.google.com/maps/@-2.1638518197668,-79.90674788982061,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,Nada,178 m² Totales,Nada
Casa,Casa en venta en Guayaquil,$ 85.000,164 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 170.000,150 m² Totales,Nada
Casa,Casa en venta en Ciudad Celeste,$ 215.000,194 m² Totales,Nada
Casa,Casa en venta en Guayaquil,$ 300.000,280 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 80.000,100 m² Totales,Nada
Casa,Casa en venta en Sur De Guayaquil,Nada,600 m² Totales,"https://www.google.com/maps/@-2.234863506398948,-79.90913885117796,13z?hl=es-ES&gl=US"
Local,Local en venta en Guayaquil,$ 1.200.000,752 m² Totales,"https://www.google.com/maps/@-2.162098772591725,-79.91165828834997,13z?hl=es-ES&gl=US"
